Title,Year,Album.debut,Duration,Other.releases,Genre,Songwriter,Lead.vocal,Top.50.Billboard,danceability,Energy,Album Position
Baby's in Black,1964,UK: Beatles for Sale US: Beatles '65,122,20,"Folk Rock, Pop/Rock",Lennon and McCartney,Lennon and McCartney,-1,0,0,0
"Baby, You're a Rich Man",1967,Magical Mystery Tour,183,10,"Psychedelic Pop, Psychedelic Rock, Pop/Rock",Lennon and McCartney,Lennon,48,0,0,0
Back in the U.S.S.R.,1968,The Beatles,163,13,"Rock and Roll, Hard Rock, Pop/Rock",McCartney,McCartney,-1,0.48,0.969,1
Bad Boy,1965,UK: A Collection of Beatles Oldies US: Beatles VI,150,0,R&B,Williams,Lennon,-1,0,0,0
Bad to Me,1963,The Beatles Bootleg Recordings 1963,142,0,"Beat, Pop/Rock",Lennon,Lennon,-1,0,0,0
Beautiful Dreamer,1963,On Air - Live at the BBC Volume 2,106,0,Pop/Rock,Foster,McCartney,-1,0,0,0
Because I Know You Love Me So,1969,Let It Be... Naked - Fly on the Wall bonus disc,150,0,,"Lennon, McCartney","Lennon, McCartney",-1,0,0,0
Because,1969,Abbey Road,165,11,Pop/Rock,Lennon,"Lennon, McCartney, Harrison",-1,0.328,0.249,8
Being for the Benefit of Mr. Kite!,1967,Sgt. Pepper's Lonely Hearts Club Band,157,7,"Experimental Rock, Psychedelic Rock, Circus, Pop/Rock","Lennon, with McCartney",Lennon,-1,0.526,0.413,7
Birthday,1968,The Beatles,162,11,"Hard Rock, Rock and Roll, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",-1,0.541,0.727,18
Blackbird,1968,The Beatles,139,12,"Folk, Pop/Rock",McCartney,McCartney,-1,0.686,0.127,11
Blue Jay Way,1967,Magical Mystery Tour,235,13,"Psychedelic Rock, Pop/Rock",Harrison,Harrison,-1,0,0,0
Boys,1963,UK: Please Please Me US: The Early Beatles,144,21,"Rock and Roll, Pop/Rock","Dixon, Farrell",Starkey (Best),-1,0,0,0
Bésame Mucho,1962,Anthology 1,150,0,Bolero,"Velázquez, Skylar",McCartney,-1,0,0,0
Can't Buy Me Love,1964,UK: A Hard Day's Night US: Hey Jude,131,42,Pop/Rock,McCartney,"McCartney, with Lennon",10,0,0,0
Carol,1963,Live at the BBC,150,0,"Rock and Roll, Pop/Rock",Berry,Lennon,-1,0,0,0
Carry That Weight,1969,Abbey Road,96,5,"Symphonic Rock, Pop/Rock",McCartney,"McCartney, with Lennon, Harrison and Starkey",-1,0.543,0.458,15
Catswalk,1962,,150,0,Pop/Rock,McCartney,N/A,-1,0,0,0
Cayenne,1960,Anthology 1,144,0,"Instrumental Rock, Pop/Rock",McCartney,N/A,-1,0,0,0
Chains,1963,UK: Please Please Me US: The Early Beatles,143,18,"Rock and Roll, Pop/Rock","Goffin, King","Harrison, with Lennon and McCartney",-1,0,0,0
Child of Nature,1968,Let It Be... Naked - Fly on the Wall bonus disc,254,0,"Soft Rock, Pop/Rock",Lennon,Lennon,-1,0,0,0
Christmas Time (Is Here Again),1967,The Beatles' Christmas Album,183,0,Pop/Rock,"Lennon, McCartney, Harrison and Starkey","Lennon, McCartney, Harrison and Starkey",-1,0,0,0
Circles,1968,,226,0,"Hindustani Blues, Pop/Rock",Harrison,Harrison,-1,0,0,0
Clarabella,1963,Live at the BBC,160,0,Pop/Rock,Pingatore,McCartney,-1,0,0,0
Come and Get It,1969,Anthology 3,142,0,"Power Pop, Pop/Rock",McCartney,McCartney,-1,0,0,0
Come Together,1969,Abbey Road,258,17,"Blues Rock, Pop/Rock",Lennon,Lennon,6,0.533,0.376,1
Cry Baby Cry,1968,The Beatles,183,10,Pop/Rock,Lennon,"Lennon, with McCartney",-1,0.517,0.529,28
Cry for a Shadow,1961,Anthology 1,140,0,"Instrumental Rock, Pop/Rock",Lennon and Harrison,N/A,-1,0,0,0
"Crying, Waiting, Hoping",1963,Live at the BBC,130,0,"Rock and Roll, Pop/Rock",Buddy Holly,Harrison,-1,0,0,0
Day Tripper,1965,UK: A Collection of Beatles Oldies US: Yesterday and Today,170,20,"Rock, Pop/Rock","Lennon, with McCartney",Lennon and McCartney,29,0,0,0
Dear Prudence,1968,The Beatles,236,9,"Rock, Pop/Rock",Lennon,Lennon,-1,0.388,0.529,2
Devil in Her Heart,1963,UK: With the Beatles US: The Beatles Second Album,147,11,"Rock, Pop/Rock",Drapkin (aka Ricky Dee),Harrison,-1,0,0,0
Dig a Pony,1969,Let It Be,232,12,"Blues Rock, Pop/Rock",Lennon,Lennon,-1,0,0,0
Dig It,1969,Let It Be,51,10,"Rock, Pop/Rock","Lennon, with McCartney, Harrison and Starkey",Lennon,-1,0,0,0
"Dizzy, Miss Lizzy",1965,UK: Help! US: Beatles VI,145,18,"Rock and Roll, Pop/Rock",Williams,Lennon,-1,0,0,0
Do You Want to Know a Secret?,1963,UK: Please Please Me US: The Early Beatles,116,23,Pop/Rock,Lennon,Harrison,26,0,0,0
Doctor Robert,1966,Revolver,135,6,"Psychedelic Rock, Power Pop, Pop/Rock","Lennon, with McCartney",Lennon,-1,0.394,0.64,11
Don't Bother Me,1963,UK: With the Beatles US: Meet The Beatles!,149,11,"Rock and Roll, Pop/Rock",Harrison,Harrison,-1,0,0,0
Don't Ever Change,1963,Live at the BBC,123,0,Pop/Rock,"Goffin, King",Harrison,-1,0,0,0
Don't Let Me Down,1969,UK: 1967-1970 US: Hey Jude,215,17,"Blues Rock, Pop/Rock",Lennon,Lennon,-1,0,0,0
Don't Pass Me By,1968,The Beatles,231,11,"Country Rock, Pop/Rock",Starkey,Starkey,-1,0.599,0.537,14
Drive My Car,1965,Rubber Soul,148,17,"Rock, R&B, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",-1,0.754,0.571,1
Eight Days a Week,1964,UK: Beatles for Sale US: Beatles VI,164,23,"Rock, Pop/Rock","McCartney, with Lennon","Lennon, with McCartney",21,0,0,0
Eleanor Rigby,1966,Revolver,128,16,"Baroque Pop, Art Rock, Pop/Rock",McCartney,McCartney,38,0.581,0.28,2
Etcetera,1968,,150,0,Pop/Rock,McCartney,McCartney,-1,0,0,0
Every Little Thing,1964,UK: Beatles for Sale US: Beatles VI,121,9,"Rock, Pop/Rock",McCartney,"Lennon, with McCartney",-1,0,0,0
Everybody's Got Something to Hide Except Me and My Monkey,1968,The Beatles,144,10,"Hard Rock, Pop/Rock",Lennon,Lennon,-1,0.523,0.731,21
Everybody's Trying to Be My Baby,1964,UK: Beatles for Sale US: Beatles '65,143,21,"Rock and Roll, Rockabilly, Pop/Rock",Perkins,Harrison,-1,0,0,0
Fancy My Chances with You,1969,Let It Be... Naked - Fly on the Wall bonus disc,150,0,Pop/Rock,?,?,-1,0,0,0
Fixing a Hole,1967,Sgt. Pepper's Lonely Hearts Club Band,146,5,"Psychedelic pop, Baroque Pop, Pop/Rock",McCartney,McCartney,-1,0.469,0.507,5
Flying,1967,Magical Mystery Tour,137,12,"Psychedelic Rock, Instrumental Rock, Space Rock, Pop/Rock","Lennon, McCartney, Harrison and Starkey",N/A,-1,0,0,0
For No One,1966,Revolver,121,9,"Baroque Pop, Pop/Rock",McCartney,McCartney,-1,0.483,0.351,10
For You Blue,1969,Let It Be,152,13,"Country Blues, Pop/Rock, Blues",Harrison,Harrison,-1,0,0,0
Free as a Bird,1977,Anthology 1,266,0,"Rock, Pop/Rock","Lennon, with McCartney, Harrison and Starkey","Lennon, McCartney and Harrison",39,0,0,0
From Me to You,1963,UK: A Collection of Beatles Oldies US: 1962-1966,116,34,"Merseybeat, Pop/Rock",Lennon and McCartney,Lennon and McCartney,-1,0,0,0
From Us to You,1963,Live at the BBC,150,2,Pop/Rock,Lennon and McCartney,Lennon and McCartney,-1,0,0,0
Get Back,1969,Let It Be,194,28,"Blues Rock, Pop/Rock",McCartney,McCartney,4,0,0,0
Getting Better,1967,Sgt. Pepper's Lonely Hearts Club Band,167,5,"Psychedelic Rock, Pop/Rock","McCartney, with Lennon",McCartney,-1,0.632,0.471,4
Girl,1965,Rubber Soul,153,17,"Folk, Pop/Rock",Lennon,Lennon,-1,0.699,0.294,9
Glad All Over,1963,Live at the BBC,112,0,Pop/Rock,"Bennett, Tepper, Schroeder",Harrison,-1,0,0,0
Glass Onion,1968,The Beatles,137,8,"Psychedelic Rock, Pop/Rock",Lennon,Lennon,-1,0.523,0.51,3
Golden Slumbers,1969,Abbey Road,91,5,"Rock, Baroque Pop, Pop/Rock",McCartney,McCartney,-1,0.419,0.152,14
Good Day Sunshine,1966,Revolver,129,7,"Sunshine Pop, Music Hall, Pop/Rock",McCartney,McCartney,-1,0.77,0.496,8
"Good Morning, Good Morning",1967,Sgt. Pepper's Lonely Hearts Club Band,161,6,"Rock, Hard Rock, Pop/Rock",Lennon,Lennon,-1,0.542,0.618,11
Good Night,1968,The Beatles,191,8,"Orchestral Pop, Lullaby, Pop/Rock",Lennon,Starkey,-1,0.146,0.355,30
Goodbye,1969,,150,0,"Children's, Pop/Rock",McCartney,McCartney,-1,0,0,0
Got to Get You into My Life,1966,Revolver,147,8,"R&B, Rock, Jazz Fusion, Pop/Rock",McCartney,McCartney,23,0.521,0.524,13
"Hallelujah, I Love Her So",1960,Anthology 1,155,0,"Blues, Jazz, R&B, Pop/Rock",Charles,McCartney,-1,0,0,0
Happiness Is a Warm Gun,1968,The Beatles,163,7,Pop/Rock,Lennon,Lennon,-1,0.431,0.54,8
Heather,1968,,130,0,"Rock, Pop/Rock",McCartney,McCartney,-1,0,0,0
Hello Little Girl,1962,Anthology 1,150,0,"Merseybeat, Pop/Rock",Lennon,Lennon,-1,0,0,0
"Hello, Goodbye",1967,Magical Mystery Tour,207,14,Pop/Rock,McCartney,McCartney,7,0,0,0
Help!,1965,Help!,138,34,"Folk Rock, Pop/Rock","Lennon, with McCartney",Lennon,14,0,0,0
Helter Skelter,1968,The Beatles,270,13,"Hard Rock, Heavy Metal[, Proto-Punk, Pop/Rock",McCartney,McCartney,-1,0.166,0.831,23
Her Majesty,1969,Abbey Road,23,8,"Music Hall, Folk, Pop/Rock",McCartney,McCartney,-1,0.703,0.215,17
Here Comes the Sun,1969,Abbey Road,186,6,"Folk Pop, Pop/Rock",Harrison,Harrison,-1,0.557,0.54,7
"Here, There and Everywhere",1966,Revolver,145,11,"Soft Rock, Pop/Rock",McCartney,McCartney,-1,0.29,0.247,5
Hey Bulldog,1968,Yellow Submarine,194,12,"Psychedelic Rock, Hard Rock, Pop/Rock",Lennon,Lennon,-1,0,0,0
Hey Jude,1968,UK: 1967-1970 US: Hey Jude,431,28,"Rock, Pop/Rock",McCartney,McCartney,1,0,0,0
Hippy Hippy Shake,1963,Live at the BBC,106,0,"Rock & Roll, Pop/Rock",Romero,McCartney,-1,0,0,0
Hold Me Tight,1963,UK: With the Beatles US: Meet The Beatles!,152,16,"Rock & Roll, Pop/Rock","McCartney, with Lennon",McCartney,-1,0,0,0
Honey Don't,1964,UK: Beatles for Sale US: Beatles '65,173,14,"Rockabilly, Pop/Rock",Perkins,Starkey,-1,0,0,0
Honey Pie,1968,The Beatles,161,8,"Music Hall, Jazz, Ragtime, Pop/Rock",McCartney,McCartney,-1,0.537,0.297,26
How Do You Do It?,1962,Anthology 1,119,0,"Merseybeat, Pop/Rock",Murray,Lennon,-1,0,0,0
I Am the Walrus,1967,Magical Mystery Tour,273,20,"Psychedelic Rock, Acid Rock, Experimental Rock, Pop/Rock",Lennon,Lennon,-1,0,0,0
I Call Your Name,1964,UK: Past Masters Volume 1 US: The Beatles Second Album,129,16,"Rock, Pop/Rock",Lennon,Lennon,-1,0,0,0
I Don't Want to Spoil the Party,1964,UK: Beatles for Sale US: Beatles VI,153,11,"Country Rock, Pop/Rock",Lennon,Lennon,49,0,0,0
I Feel Fine,1964,UK: A Collection of Beatles Oldies US: Beatles '65,145,35,"Rock, Pop/Rock",Lennon,Lennon,11,0,0,0
I Forgot to Remember to Forget,1964,Live at the BBC,148,0,"Country, Pop/Rock",Stan Kesler and Charlie Feathers,Harrison,-1,0,0,0
I Got a Woman,1963,Live at the BBC,151,0,"Jump Blues, R&B, Pop/Rock",Charles,Lennon,-1,0,0,0
I Got to Find My Baby,1963,Live at the BBC,116,0,"Rock, Pop/Rock",Berry,Lennon,-1,0,0,0
I Just Don't Understand,1963,Live at the BBC,167,0,"Rock, Pop/Rock","Wilkin, Westberry",Lennon,-1,0,0,0
I Lost My Little Girl,1962,,105,0,"Rock, R&B, Pop/Rock",McCartney,Lennon,-1,0,0,0
I Me Mine,1970,Let It Be,145,10,"Folk blues, Hard Rock, Pop/Rock",Harrison,Harrison,-1,0,0,0
I Need You,1965,Help!,148,11,Pop/Rock,Harrison,Harrison,-1,0,0,0
I Saw Her Standing There,1963,UK: Please Please Me US: Meet The Beatles!,175,42,"Rock and Roll, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",36,0,0,0
I Should Have Known Better,1964,UK: A Hard Day's Night US: Hey Jude,164,18,Pop/Rock,Lennon,Lennon,-1,0,0,0
I Wanna Be Your Man,1963,UK: With the Beatles US: Meet The Beatles!,103,25,"Rock and Roll, R&B, Pop/Rock","McCartney, with Lennon",Starkey,-1,0,0,0
I Want to Hold Your Hand,1963,UK: A Collection of Beatles Oldies US: Meet The Beatles!,144,34,"Rock and Roll, Pop/Rock",Lennon and McCartney,Lennon and McCartney,2,0,0,0
I Want to Tell You,1966,Revolver,149,5,"Psychedelic Rock, Pop/Rock",Harrison,Harrison,-1,0.493,0.525,12
I Want You (She's So Heavy),1969,Abbey Road,467,5,"Blues Rock, Hard Rock, Progressive Rock, Pop/Rock",Lennon,Lennon,-1,0.37,0.515,6
I Will,1968,The Beatles,106,8,"Folk, Pop/Rock",McCartney,McCartney,-1,0.631,0.387,16
I'll Be Back,1964,UK: A Hard Day's Night US: Beatles '65,140,14,"Rock, Pop/Rock",Lennon,"Lennon, with McCartney",-1,0,0,0
I'll Be on My Way,1963,Live at the BBC,118,0,Pop/Rock,McCartney,Lennon,-1,0,0,0
I'll Cry Instead,1964,UK: A Hard Day's Night US: Something New,129,14,"Rock and Roll, Country, Pop/Rock",Lennon,Lennon,43,0,0,0
I'll Follow the Sun,1964,UK: Beatles for Sale US: Beatles '65,106,17,"Folk Rock, Country, Pop/Rock",McCartney,"McCartney, with Lennon",-1,0,0,0
I'll Get You,1963,UK: Past Masters Volume 1 US: The Beatles Second Album,124,13,"Merseybeat, Pop/Rock",Lennon and McCartney,"Lennon, with McCartney",-1,0,0,0
I'll Keep You Satisfied,1963,,150,0,Pop/Rock,"McCartney, with Lennon",Lennon and/or McCartney,-1,0,0,0
I'm a Loser,1964,UK: Beatles for Sale US: Beatles '65,151,17,"Folk Rock, Country, Pop/Rock",Lennon,Lennon,-1,0,0,0
I'm Down,1965,Rock 'n' Roll Music,153,20,"Rock and Roll, Pop/Rock",McCartney,McCartney,-1,0,0,0
I'm Gonna Sit Right Down and Cry (Over You),1963,Live at the BBC,121,0,Pop/Rock,"Thomas, Biggs",Lennon,-1,0,0,0
I'm Happy Just to Dance with You,1964,UK: A Hard Day's Night US: Something New,118,5,"Rock, Pop/Rock",Lennon and McCartney,Harrison,-1,0,0,0
I'm In Love,1963,The Beatles Bootleg Recordings 1963,92,0,"Rock and Roll, Pop/Rock",Lennon,Lennon,-1,0,0,0
I'm Looking Through You,1965,Rubber Soul,147,15,"Folk Rock, Pop/Rock",McCartney,"McCartney, with Lennon",-1,0.667,0.498,10
I'm Only Sleeping,1966,Revolver,182,10,"Psychedelic Rock, Psychedelic Folk, Pop/Rock",Lennon,Lennon,-1,0.494,0.47,3
I'm So Tired,1968,The Beatles,123,11,"Blues Rock, Pop/Rock",Lennon,Lennon,-1,0.433,0.483,10
I'm Talking About You,1962,"Live! at the Star-Club in Hamburg, Germany; 1962",150,0,"Rock and Roll, Pop/Rock",Berry,Lennon,-1,0,0,0
I'm Talking About You,1963,On Air - Live at the BBC Volume 2,112,0,Pop/Rock,Berry,Lennon,-1,0,0,0
I've Got a Feeling,1969,Let It Be,217,12,"Blues Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",-1,0,0,0
I've Just Seen a Face,1965,UK: Help! US: Rubber Soul,127,10,"Folk Rock, Country, Pop/Rock",McCartney,McCartney,-1,0,0,0
If I Fell,1964,UK: A Hard Day's Night US: Something New,142,21,Pop/Rock,Lennon,"Lennon, with McCartney",-1,0,0,0
If I Needed Someone,1965,Rubber Soul,143,13,"Folk Rock, Pop/Rock",Harrison,Harrison,-1,0.492,0.755,13
If You've Got Trouble,1965,Anthology 2,169,0,"Rock, Pop/Rock",Lennon and McCartney,Starkey,-1,0,0,0
In My Life,1965,Rubber Soul,148,12,"Baroque Pop, Pop/Rock",Lennon and McCartney,Lennon,-1,0.688,0.435,11
In Spite of All the Danger,1958,Anthology 1,164,0,"Skiffle, Blues, Rock and Roll, Pop/Rock",McCartney and Harrison,Lennon,-1,0,0,0
It Won't Be Long,1963,UK: With the Beatles US: Meet The Beatles!,133,13,"Rock, Pop/Rock","Lennon, with McCartney",Lennon,-1,0,0,0
It's All Too Much,1967,Yellow Submarine,388,11,"Psychedelic Rock, Acid Rock, Pop/Rock",Harrison,Harrison,-1,0,0,0
It's Only Love,1965,UK: Help! US: Rubber Soul,115,15,"Folk Rock, Pop/Rock",Lennon,Lennon,-1,0,0,0
Jazz Piano Song,1969,,150,0,Boogie-Woogie,"McCartney, Starkey",McCartney,-1,0,0,0
Jessie's Dream,1967,,150,0,,"Lennon, McCartney, Harrison, Starkey",N/A,-1,0,0,0
Johnny B. Goode,1964,Live at the BBC,161,0,"Rock and Roll, Pop/Rock",Berry,Lennon,-1,0,0,0
Julia,1968,The Beatles,174,10,"Folk, Pop/Rock",Lennon,Lennon,-1,0.512,0.0953,17
Junk,1968,Anthology 3,114,0,"Folk, Pop/Rock",McCartney,McCartney,-1,0,0,0
"Kansas City/Hey, Hey, Hey, Hey",1964,UK: Beatles for Sale US: Beatles VI,163,8,"R&B, Rock and Roll, Pop/Rock","Leiber, Stoller/Penniman",McCartney,-1,0,0,0
Keep Your Hands Off My Baby,1963,Live at the BBC,149,0,Pop/Rock,"Goffin, King",Lennon,-1,0,0,0
Komm Gib Mir Deine Hand,1964,UK: Rarities US: Something New,146,8,"Rock and Roll, Pop/Rock",Lennon/McCartney/Nicolas/Hellmer,Lennon and McCartney,-1,0,0,0
Lady Madonna,1968,UK: 1967-1970 US: Hey Jude,136,21,"Rock and Roll, Pop/Rock","McCartney, with Lennon",McCartney,22,0,0,0
Leave My Kitten Alone,1964,Anthology 1,177,0,"Rock and Roll, Pop/Rock","Turner, McDougall",Lennon,-1,0,0,0
Lend Me Your Comb,1963,Anthology 1,107,0,Pop/Rock,"Twomey, Wise, Weisman",Lennon and McCartney,-1,0,0,0
Let It Be,1969,Let It Be,243,28,"Rock, Gospel, Pop/Rock",McCartney,McCartney,5,0,0,0
Like Dreamers Do,1962,Anthology 1,156,0,"Rock, Merseybeat, Pop/Rock",McCartney,McCartney,-1,0,0,0
Little Child,1963,UK: With the Beatles US: Meet The Beatles!,108,10,"Rock and Roll, Pop/Rock",Lennon and McCartney,Lennon and McCartney,-1,0,0,0
Lonesome Tears in My Eyes,1963,Live at the BBC,156,0,Pop/Rock,"J. Burnette, D. Burnette, Burlison, Mortimer",Lennon,-1,0,0,0
Long Tall Sally,1964,UK: Rock 'n' Roll Music US: The Beatles Second Album,130,35,"Rock and Roll, Pop/Rock","Blackwell, Johnson, Penniman",McCartney,-1,0,0,0
"Long, Long, Long",1968,The Beatles,184,6,"Psychedelic Folk, Pop/Rock",Harrison,Harrison,-1,0.349,0.129,24
Looking Glass,1962,,150,0,Pop/Rock,McCartney,McCartney,-1,0,0,0
Love Me Do,1962,UK: Please Please Me US: The Early Beatles,142,56,"Merseybeat, R&B, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",16,0,0,0
Love of the Loved,1962,,122,0,Pop/Rock,"McCartney, with Lennon",McCartney,-1,0,0,0
Love You To,1966,Revolver,181,8,"Indian Music, Raga Rock",Harrison,Harrison,-1,0.391,0.593,4
Lovely Rita,1967,Sgt. Pepper's Lonely Hearts Club Band,162,6,"Psychedelic Folk, Music Hall, Pop/Rock",McCartney,McCartney,-1,0.61,0.471,10
Lucille,1963,Live at the BBC,141,0,"Rock and Roll, Pop/Rock","Penniman, Collins",McCartney,-1,0,0,0
Lucy in the Sky with Diamonds,1967,Sgt. Pepper's Lonely Hearts Club Band,208,5,"Psychedelic Rock, Pop/Rock",Lennon with McCartney,Lennon,-1,0.311,0.325,3
Madman,1969,,197,0,"Rock, Pop/Rock",Lennon,Lennon,-1,0,0,0
Maggie Mae,1969,Let It Be,40,7,"Skiffle, Pop/Rock","Traditional, arr. Lennon, McCartney, Harrison, Starkey",Lennon,-1,0,0,0
Magical Mystery Tour,1967,Magical Mystery Tour,171,20,"Psychedelic Rock, Pop/Rock","McCartney, with Lennon",McCartney,-1,0,0,0
"Mailman, Bring Me No More Blues",1969,Anthology 3,116,0,Pop/Rock,"Row, Katz, Roberts, Clayton",Lennon,-1,0,0,0
Martha My Dear,1968,The Beatles,148,6,"Music Hall, Pop/Rock",McCartney,McCartney,-1,0.472,0.292,9
Matchbox,1964,UK: Rock 'n' Roll Music US: Something New,117,24,"Rock and roll, Rockabilly, Pop/Rock","Perkins, Jefferson",Starkey (Best),40,0,0,0
Maxwell's Silver Hammer,1969,Abbey Road,207,8,"Rock, Music Hall, Pop/Rock",McCartney,McCartney,-1,0.764,0.426,3
Mean Mr. Mustard,1969,Abbey Road,66,6,Pop/Rock,Lennon,Lennon,-1,0.676,0.596,11
"Memphis, Tennessee",1963,Live at the BBC,136,0,"R&B, Rock and Roll, Pop/Rock",Berry,Lennon,-1,0,0,0
Michelle,1965,Rubber Soul,160,19,Pop/Rock,"McCartney, with Lennon",McCartney,-1,0.578,0.29,7
Misery,1963,UK: Please Please Me US: Rarities,107,23,Pop/Rock,"Lennon, with McCartney","Lennon, with McCartney",-1,0,0,0
Money (That's What I Want),1963,UK: With the Beatles US: The Beatles Second Album,167,24,Pop/Rock,"Gordy, Bradford",Lennon,-1,0,0,0
Moonlight Bay,1963,Anthology 1,150,0,Pop/Rock,"Percy Wenrich, Edward Madden","Lennon, McCartney, Harrison, Eric Morecambe, Ernie Wise",-1,0,0,0
Mother Nature's Son,1968,The Beatles,168,10,"Folk, Pop/Rock",McCartney,McCartney,-1,0.608,0.178,20
Mr. Moonlight,1964,UK: Beatles for Sale US: Beatles '65,155,17,"Folk Rock, Pop/Rock",Johnson,Lennon,-1,0,0,0
My Bonnie,1961,Anthology 1,150,13,"Rock and Roll, Pop/Rock","Traditional, arr. Sheridan",Sheridan,45,0,0,0
No Reply,1964,UK: Beatles for Sale US: Beatles '65,135,15,"Folk Rock, Pop/Rock","Lennon, with McCartney","Lennon, with McCartney",-1,0,0,0
Norwegian Wood (This Bird Has Flown),1965,Rubber Soul,125,18,"Folk Rock, Raga Rock, Pop/Rock","Lennon, with McCartney",Lennon,-1,0.425,0.369,2
Not a Second Time,1963,UK: With the Beatles US: Meet The Beatles!,128,9,"Rock, Pop/Rock",Lennon,Lennon,-1,0,0,0
Not Guilty,1968,Anthology 3,215,0,"Jazz-Pop, Pop/Rock",Harrison,Harrison,-1,0,0,0
Nothin' Shakin' (But the Leaves on the Trees),1963,Live at the BBC,176,0,Pop/Rock,Fontaine,Harrison,-1,0,0,0
Nowhere Man,1965,Rubber Soul,164,23,"Folk Rock, Pop/Rock",Lennon,Lennon,27,0.534,0.624,4
"Ob-La-Di, Ob-La-Da",1968,The Beatles,187,16,"Ska, Pop/Rock",McCartney,McCartney,-1,0.818,0.728,4
Octopus's Garden,1969,Abbey Road,168,10,"Rock, Pop/Rock","Starkey, with uncredited assistance from Harrison",Starkey,-1,0.626,0.512,5
Oh! Darling,1969,Abbey Road,206,9,"Swamp Pop, Hard Rock, Pop/Rock",McCartney,McCartney,-1,0.422,0.656,4
Old Brown Shoe,1969,UK: 1967-1970 US: Hey Jude,196,13,"Blues Rock, Pop/Rock",Harrison,Harrison,-1,0,0,0
One After 909,1969,Let It Be,172,17,"Roots Rock, Pop/Rock",Lennon,"Lennon, with McCartney",-1,0,0,0
One and One Is Two,1964,,150,0,,McCartney,McCartney,-1,0,0,0
Only a Northern Song,1967,Yellow Submarine,207,9,"Psychedelic Rock, Pop/Rock",Harrison,Harrison,-1,0,0,0
Ooh! My Soul,1963,Live at the BBC,97,0,Pop/Rock,Penniman,McCartney,-1,0,0,0
P.S. I Love You,1962,UK: Please Please Me US: The Early Beatles,126,30,"Merseybeat, Pop/Rock","McCartney, with Lennon",McCartney,34,0,0,0
Paperback Writer,1966,UK: A Collection of Beatles Oldies US: Hey Jude,138,27,"Hard Rock, Power Pop, Psychedelic Rock, Pop/Rock",McCartney,McCartney,19,0,0,0
Penny Lane,1966,Magical Mystery Tour,183,22,"Progressive Pop, Baroque Pop, Psychedelic Pop, Psychedelic Rock, Pop/Rock",McCartney,McCartney,24,0,0,0
